Id,Area_SqFt,Bedrooms,Bathrooms,Floors,Year_Built,Location,Condition,Garage_Capacity,Has_Pool,Distance_City_Center_Miles,Price
1038,632.3,3.0,2.0,1,1988.0,Urban,Good,2,Yes,2.04,194100.0
1039,1137.5,3.0,3.0,2,2012.0,Urban,Excellent,1,No,2.26,320600.0
1040,2357.5,3.0,3.0,2,1971.0,Rural,Excellent,2,No,4.89,321200.0
1041,2790.8,2.0,2.0,3,1973.0,Urban,Excellent,1,No,0.53,528200.0
1042,2337.1,3.0,3.0,2,1979.0,Suburbs,Good,2,Yes,5.07,493000.0
1043,1500.0,3.0,3.0,1,2007.0,Urban,Very Good,2,Yes,7.17,550800.0
1044,1959.1,2.0,2.0,2,1980.0,Suburbs,Good,2,No,6.6,316200.0
1045,1017.2,3.0,2.0,2,2013.0,Suburbs,Good,2,No,4.83,250700.0
1046,1624.1,2.0,2.0,2,1968.0,Rural,Fair,0,No,18.27,185200.0
1047,1831.5,2.0,3.0,1,1997.0,Suburbs,Good,0,No,1.57,308400.0
1048,500.0,5.0,4.0,3,1994.0,Rural,Fair,2,No,7.05,535400.0
1049,2474.9,3.0,2.0,2,2004.0,Rural,Good,1,No,0.64,361500.0
1050,789.6,4.0,4.0,2,2004.0,Rural,Very Good,1,No,0.74,208900.0
1051,2459.3,3.0,3.0,1,1967.0,Suburbs,Fair,0,No,8.53,430300.0
1052,1891.9,3.0,2.0,2,2012.0,Suburbs,Poor,1,No,8.35,355000.0
1053,1658.5,4.0,3.0,1,1996.0,Suburbs,Poor,0,No,21.04,322900.0
1054,2689.3,3.0,3.0,2,2006.0,Urban,Excellent,2,No,8.16,588100.0
1055,3024.8,3.0,2.0,1,1994.0,Suburbs,Good,1,Yes,32.14,476700.0
1056,2945.0,3.0,2.0,2,1982.0,Urban,Good,2,No,0.5,458400.0
1057,1528.6,3.0,2.0,3,1966.0,Urban,Very Good,0,No,1.03,331800.0
1058,1952.6,5.0,3.0,1,2019.0,Urban,Very Good,2,No,0.45,605600.0
1059,2465.0,4.0,4.0,3,1953.0,Suburbs,Good,1,No,2.05,500200.0
1060,2980.4,5.0,3.0,1,1969.0,Downtown,Good,2,No,7.79,808400.0
1061,1816.7,2.0,3.0,2,1996.0,Suburbs,Very Good,2,No,10.37,307500.0
1062,2051.5,4.0,3.0,2,1964.0,Downtown,Good,1,No,0.47,540500.0
1063,1314.9,5.0,4.0,2,2019.0,Downtown,Fair,3,No,29.18,382000.0
1064,1243.0,2.0,1.0,2,1996.0,Suburbs,Very Good,3,Yes,18.46,167400.0
1065,2850.0,2.0,2.0,2,1958.0,Downtown,Good,2,No,3.52,607600.0
1066,500.0,3.0,3.0,1,1965.0,Downtown,Fair,2,Yes,0.8,881000.0
1067,500.0,3.0,3.0,1,2018.0,Urban,Good,1,No,1.86,458400.0
1068,500.0,4.0,4.0,2,2010.0,Urban,Poor,2,Yes,1.36,718000.0
1069,2489.3,2.0,2.0,2,1959.0,Suburbs,Fair,0,No,1.32,458400.0
1070,1683.9,4.0,4.0,2,1999.0,Downtown,Very Good,0,No,7.31,472400.0
1071,2489.1,2.0,2.0,2,1952.0,Suburbs,Poor,3,Yes,2.82,458400.0
1072,3430.4,2.0,1.0,1,2019.0,Suburbs,Good,1,No,4.43,624400.0
1073,2171.3,2.0,3.0,2,2000.0,Urban,Good,2,Yes,45.57,278400.0
1074,3451.7,4.0,4.0,1,1988.0,Urban,Poor,2,No,11.53,680400.0
1075,500.0,3.0,3.0,2,1991.0,Suburbs,Good,2,No,29.76,111100.0
1076,2857.5,3.0,3.0,1,1984.0,Downtown,Fair,3,No,1.54,773600.0
1077,2269.6,3.0,2.0,1,1995.0,Suburbs,Good,1,No,4.81,325400.0
1078,1960.8,4.0,4.0,1,1975.0,Suburbs,Good,0,No,8.09,405900.0
1079,2273.4,3.0,2.0,1,2018.0,Urban,Fair,1,Yes,0.8,523500.0
1080,609.9,4.0,3.0,2,2013.0,Downtown,Poor,0,No,0.04,311200.0
1081,2024.3,3.0,2.0,1,1988.0,Suburbs,Very Good,0,Yes,11.1,458400.0
1082,2485.7,3.0,3.0,1,1998.0,Downtown,Good,1,No,10.27,649300.0
1083,3382.3,3.0,3.0,1,1970.0,Suburbs,Fair,2,No,5.29,607100.0
1084,1785.4,3.0,2.0,1,2023.0,Waterfront,Good,2,No,6.73,526300.0
1085,1553.2,4.0,3.0,1,2013.0,Suburbs,Very Good,1,No,5.37,361900.0
1086,1798.6,3.0,2.0,1,1954.0,Downtown,Very Good,2,No,0.24,500100.0
1087,2932.3,2.0,3.0,2,2019.0,Downtown,Good,1,No,4.09,792900.0
1088,2463.0,4.0,3.0,2,1988.0,Suburbs,Good,0,Yes,1.95,497900.0
1089,1776.2,5.0,3.0,2,1988.0,Downtown,Good,2,No,1.04,530700.0
1090,2610.6,3.0,2.0,1,1984.0,Downtown,Very Good,2,No,31.4,458400.0
1091,500.0,5.0,4.0,1,1950.0,Rural,Very Good,2,No,9.15,356200.0
1092,2974.9,3.0,3.0,2,1973.0,Suburbs,Fair,0,No,13.04,520600.0
1093,1638.4,2.0,3.0,2,2006.0,Suburbs,Good,2,No,3.79,422700.0
1094,1937.9,5.0,3.0,1,2019.0,Downtown,Excellent,2,Yes,4.99,560300.0
1095,1886.3,3.0,3.0,1,1990.0,Downtown,Very Good,2,No,2.7,608300.0
1096,1029.2,3.0,3.0,1,2003.0,Waterfront,Fair,2,No,1.02,455000.0
1097,2436.9,2.0,2.0,1,1995.0,Suburbs,Very Good,2,No,1.97,525600.0
1098,2408.8,4.0,4.0,1,2009.0,Downtown,Good,2,No,15.97,593800.0
1099,2204.1,3.0,3.0,2,2009.0,Urban,Good,2,No,11.32,527800.0
1100,2012.3,3.0,3.0,2,2006.0,Rural,Good,3,No,7.92,325400.0
1101,1067.7,3.0,4.0,2,1980.0,Suburbs,Poor,2,No,6.45,213300.0
1102,1863.5,4.0,4.0,2,1973.0,Suburbs,Good,1,No,25.57,356900.0
1103,1925.8,2.0,2.0,2,2055.0,Waterfront,Very Good,2,No,0.76,458400.0
1104,1558.2,3.0,2.0,2,1979.0,Suburbs,Fair,1,No,3.29,282600.0
1105,2071.0,2.0,2.0,3,1973.0,Suburbs,Very Good,1,No,4.31,306500.0
1106,2523.2,4.0,4.0,1,1979.0,Suburbs,Good,2,No,15.25,511700.0
1107,3708.9,1.0,1.0,1,1956.0,Suburbs,Excellent,3,No,48.95,458400.0
1108,2339.7,3.0,2.0,1,1984.0,Downtown,Poor,3,No,2.75,633200.0
1109,2406.0,4.0,4.0,2,2004.0,Urban,Fair,1,No,20.74,573900.0
1110,2140.4,4.0,4.0,2,1963.0,Suburbs,Good,1,No,17.76,415600.0
1111,665.0,3.0,3.0,1,1959.0,Rural,Fair,1,Yes,2.54,189800.0
1112,2178.8,4.0,3.0,3,1965.0,Rural,Very Good,3,No,5.1,366100.0
1113,2248.2,2.0,2.0,1,1988.0,Suburbs,Very Good,3,No,5.27,430200.0
1114,4170.6,4.0,4.0,3,2019.0,Suburbs,Fair,2,Yes,38.27,696900.0
1115,2046.1,2.0,1.0,1,1993.0,Suburbs,Good,2,No,2.0,376100.0
1116,2441.2,3.0,2.0,1,2022.0,Downtown,Good,2,No,16.05,590400.0
1117,2172.2,4.0,4.0,1,1994.0,Downtown,Good,2,No,4.07,671000.0
1118,1265.1,2.0,3.0,1,2005.0,Suburbs,Excellent,0,No,13.13,458400.0
1119,3114.3,2.0,2.0,1,2006.0,Suburbs,Very Good,1,Yes,5.45,527800.0
1120,500.0,4.0,3.0,1,1970.0,Waterfront,Good,2,Yes,8.64,891800.0
1121,2832.8,4.0,4.0,2,2017.0,Urban,Very Good,2,No,17.87,662600.0
1122,1472.5,3.0,3.0,2,1999.0,Suburbs,Good,1,No,16.3,363700.0
1123,3322.2,3.0,3.0,1,1982.0,Urban,Excellent,3,No,20.13,703800.0
1124,1078.5,3.0,3.0,2,1956.0,Downtown,Good,0,No,0.61,458400.0
1125,2669.5,3.0,2.0,2,2019.0,Suburbs,Very Good,1,Yes,11.78,512700.0
1126,3952.4,3.0,3.0,1,1964.0,Urban,Very Good,2,No,1.51,820400.0
1127,1407.6,2.0,1.0,1,1988.0,Suburbs,Fair,2,Yes,5.38,309100.0
1128,1747.0,5.0,3.0,1,1969.0,Suburbs,Very Good,2,Yes,7.95,341600.0
1129,2279.7,3.0,2.0,1,1964.0,Suburbs,Fair,1,No,5.15,365800.0
1130,1797.2,3.0,2.0,2,1997.0,Downtown,Good,0,No,7.33,402700.0
1131,959.5,3.0,2.0,1,1988.0,Urban,Good,2,Yes,56.63,145700.0
1132,2254.9,3.0,5.0,2,1970.0,Urban,Good,2,No,1.45,640200.0
1133,1350.2,2.0,1.0,2,1991.0,Urban,Very Good,0,Yes,11.25,212500.0
1134,2578.9,3.0,2.0,1,1975.0,Downtown,Very Good,2,No,5.04,504500.0
1135,1464.5,3.0,3.0,2,1963.0,Suburbs,Very Good,1,No,1.43,296900.0
1136,3439.9,3.0,2.0,1,2006.0,Downtown,Good,2,Yes,1.73,893500.0
1137,1573.4,1.0,1.0,3,1986.0,Suburbs,Excellent,2,No,29.81,229800.0
1138,1942.4,4.0,4.0,1,2007.0,Suburbs,Good,0,No,21.17,417800.0
1139,2850.8,5.0,4.0,2,1970.0,Downtown,Good,0,No,23.76,458400.0
1140,1215.3,3.0,2.0,2,2018.0,Waterfront,Fair,2,No,47.72,220400.0
1141,2382.0,3.0,3.0,1,1952.0,Downtown,Very Good,2,No,2.34,617200.0
1142,3245.7,5.0,5.0,2,1986.0,Urban,Very Good,2,No,4.39,738300.0
1143,500.0,4.0,3.0,3,1998.0,Suburbs,Good,2,No,11.06,340000.0
1144,2347.7,2.0,2.0,2,1968.0,Rural,Poor,2,Yes,6.61,344100.0
1145,2407.9,3.0,2.0,2,1961.0,Downtown,Very Good,3,No,5.42,557100.0
1146,2825.5,3.0,3.0,2,2010.0,Rural,Poor,1,No,4.43,422600.0
1147,500.0,3.0,3.0,1,1990.0,Downtown,Very Good,1,Yes,9.01,343800.0
1148,1143.6,4.0,4.0,1,1982.0,Rural,Good,1,No,8.57,212600.0
1149,2617.6,5.0,4.0,2,1999.0,Suburbs,Good,0,Yes,1.76,618600.0
1150,2437.6,5.0,5.0,1,2017.0,Downtown,Fair,2,Yes,6.38,769500.0
1151,2400.4,3.0,2.0,2,2020.0,Suburbs,Very Good,1,No,8.06,448900.0
1152,2477.2,2.0,2.0,3,1982.0,Downtown,Very Good,3,No,8.45,670600.0
1153,1656.0,5.0,5.0,1,1973.0,Suburbs,Good,2,Yes,2.36,458400.0
1154,2385.8,4.0,3.0,1,1988.0,Suburbs,Good,2,No,13.56,473700.0
1155,2434.5,2.0,1.0,2,2010.0,Suburbs,Poor,1,Yes,0.26,458400.0
1156,1628.5,5.0,4.0,1,1977.0,Rural,Good,0,No,4.38,308900.0
1157,3692.6,4.0,4.0,2,2007.0,Urban,Very Good,0,No,15.15,784000.0
1158,2579.1,3.0,2.0,1,1988.0,Suburbs,Very Good,1,No,8.3,408500.0
1159,1247.0,3.0,2.0,2,1990.0,Suburbs,Fair,0,Yes,3.03,338600.0
1160,2725.2,3.0,3.0,1,1988.0,Downtown,Very Good,2,No,11.87,734300.0
1161,1420.3,2.0,1.0,2,1998.0,Rural,Good,2,No,8.38,458400.0
1162,2829.7,3.0,2.0,1,1966.0,Suburbs,Good,2,Yes,15.91,449600.0
1163,3126.9,4.0,4.0,2,2019.0,Suburbs,Fair,2,No,13.28,657800.0
1164,1543.5,1.0,1.0,1,2019.0,Suburbs,Very Good,1,No,9.42,279400.0
1165,2970.7,3.0,2.0,2,2014.0,Urban,Fair,2,No,6.7,650800.0
1166,2530.2,3.0,2.0,2,2023.0,Rural,Good,2,No,1.43,417200.0
1167,2857.6,3.0,2.0,1,1954.0,Suburbs,Fair,0,No,3.03,467800.0
1168,3717.4,5.0,3.0,1,1951.0,Suburbs,Very Good,2,No,5.43,764800.0
1169,500.0,3.0,3.0,1,1971.0,Rural,Good,1,No,9.15,316300.0
1170,1597.0,3.0,3.0,2,2006.0,Rural,Very Good,2,Yes,7.21,458400.0
1171,1488.4,4.0,4.0,2,1988.0,Urban,Fair,3,No,3.4,458400.0
1172,1547.4,3.0,3.0,2,2023.0,Waterfront,Good,0,No,0.06,708400.0
1173,2138.3,2.0,1.0,1,1965.0,Downtown,Good,2,No,6.86,617000.0
1174,500.0,3.0,3.0,1,2000.0,Downtown,Very Good,2,No,3.36,606200.0
1175,2421.4,2.0,3.0,2,1988.0,Rural,Excellent,3,No,13.27,361900.0
1176,2861.7,3.0,2.0,1,1989.0,Suburbs,Poor,1,No,0.24,439800.0
1177,2210.4,3.0,2.0,3,1987.0,Rural,Good,2,No,8.79,347100.0
1178,3362.8,3.0,2.0,1,2009.0,Downtown,Poor,0,Yes,28.38,682200.0
1179,1988.3,5.0,4.0,2,2008.0,Downtown,Good,1,Yes,1.92,721000.0
1180,4376.1,3.0,2.0,1,1988.0,Downtown,Fair,0,No,6.38,900000.0
1181,2700.5,3.0,2.0,1,2013.0,Suburbs,Good,3,No,0.96,501300.0
1182,1514.3,3.0,3.0,2,2012.0,Suburbs,Good,2,No,9.83,336000.0
1183,1343.3,1.0,2.0,2,1998.0,Urban,Good,2,No,8.0,204700.0
1184,2586.0,3.0,2.0,3,2013.0,Suburbs,Good,3,No,5.23,564600.0
1185,2021.2,2.0,2.0,1,1981.0,Downtown,Very Good,0,No,7.37,347300.0
1186,2771.2,5.0,5.0,1,1956.0,Suburbs,Good,1,No,22.69,541800.0
1187,2578.6,2.0,2.0,2,1970.0,Urban,Poor,0,No,2.19,390500.0
1188,2141.7,3.0,3.0,2,1969.0,Urban,Very Good,1,No,0.23,459000.0
1189,1522.6,2.0,2.0,1,1975.0,Urban,Fair,1,No,19.78,335100.0
1190,500.0,5.0,5.0,1,2017.0,Downtown,Good,1,No,8.61,470000.0
1191,1842.8,3.0,2.0,1,1964.0,Suburbs,Good,1,No,22.13,263900.0
1192,2885.1,3.0,3.0,2,1988.0,Suburbs,Good,0,Yes,9.09,511700.0
1193,2371.3,2.0,1.0,1,1976.0,Rural,Poor,0,No,16.62,277400.0
1194,1203.4,3.0,3.0,1,1989.0,Suburbs,Good,0,Yes,5.62,291500.0
1195,2338.5,3.0,1.0,1,2007.0,Downtown,Excellent,3,No,13.86,477000.0
1196,2508.3,4.0,3.0,1,1977.0,Waterfront,Good,2,No,24.42,796200.0
1197,1492.9,2.0,2.0,1,1975.0,Downtown,Good,3,No,8.49,244800.0
1198,2323.0,2.0,1.0,2,2012.0,Suburbs,Good,1,No,1.99,373800.0
1199,2246.6,3.0,1.0,1,2015.0,Urban,Fair,1,No,3.13,422300.0
1200,1285.6,3.0,2.0,2,1974.0,Rural,Good,2,No,2.21,236700.0
1201,2486.2,3.0,3.0,1,1952.0,Suburbs,Very Good,1,Yes,2.84,468600.0
1202,500.0,2.0,2.0,2,2021.0,Downtown,Fair,1,No,3.66,586000.0
1203,3066.4,4.0,4.0,2,1993.0,Urban,Fair,1,No,8.1,626900.0
1204,3043.0,3.0,2.0,2,1991.0,Rural,Fair,0,No,8.87,424900.0
1205,1097.9,3.0,2.0,2,1955.0,Urban,Good,1,No,5.56,227800.0
1206,1449.7,3.0,3.0,1,1988.0,Downtown,Fair,1,No,9.56,366100.0
1207,2612.0,3.0,2.0,1,2001.0,Rural,Poor,2,No,0.85,393900.0
1208,2611.0,3.0,2.0,2,1972.0,Rural,Good,0,No,0.92,388500.0
1209,2612.0,2.0,3.0,3,1999.0,Urban,Fair,1,No,1.89,529100.0
1210,5282.2,3.0,1.0,2,1992.0,Rural,Good,2,No,7.3,696500.0
1211,2656.7,4.0,3.0,2,1968.0,Rural,Fair,0,No,2.41,462100.0
1212,3108.5,5.0,4.0,2,1988.0,Urban,Good,1,No,3.33,684400.0
1213,2963.2,3.0,2.0,1,2000.0,Downtown,Very Good,2,No,5.11,639400.0
1214,2721.1,3.0,2.0,1,1960.0,Suburbs,Very Good,0,No,16.71,470400.0
1215,1947.8,3.0,3.0,2,1961.0,Downtown,Good,0,No,0.14,451700.0
1216,2807.2,3.0,3.0,3,2023.0,Suburbs,Good,1,No,10.48,549900.0
1217,1581.7,1.0,1.0,1,1957.0,Suburbs,Good,1,No,11.05,193300.0
1218,2010.5,2.0,2.0,2,1973.0,Downtown,Fair,2,No,16.03,427800.0
1219,1811.7,4.0,4.0,1,1990.0,Suburbs,Fair,2,No,26.99,425700.0
1220,2265.5,3.0,3.0,2,1985.0,Downtown,Good,0,No,0.2,617700.0
1221,4051.7,1.0,2.0,1,2021.0,Rural,Fair,2,Yes,1.67,458400.0
1222,706.2,2.0,2.0,1,2004.0,Suburbs,Fair,1,No,21.73,74800.0
1223,2749.0,2.0,1.0,2,1958.0,Downtown,Good,0,No,6.13,495500.0
1224,909.8,3.0,3.0,1,1996.0,Waterfront,Good,2,Yes,8.31,221300.0
1225,1822.5,1.0,1.0,2,1964.0,Suburbs,Good,1,Yes,10.88,238500.0
1226,3071.2,3.0,2.0,2,1997.0,Suburbs,Poor,1,Yes,11.37,567800.0
1227,2251.4,4.0,3.0,3,1991.0,Downtown,Poor,0,No,26.84,535200.0
1228,1337.8,3.0,1.0,1,2009.0,Suburbs,Excellent,1,No,57.92,107900.0
1229,1627.8,3.0,3.0,1,2019.0,Rural,Fair,1,No,12.74,275900.0
1230,2743.7,2.0,2.0,1,1961.0,Urban,Fair,2,No,3.39,495100.0
1231,1615.7,2.0,1.0,3,1951.0,Downtown,Good,0,No,21.18,263400.0
1232,2373.2,2.0,3.0,3,1956.0,Downtown,Good,1,No,0.5,586800.0
1233,2236.5,4.0,4.0,2,1952.0,Suburbs,Good,1,No,2.63,392400.0
1234,1678.7,4.0,4.0,2,1952.0,Suburbs,Fair,2,No,22.77,342900.0
1235,3915.2,4.0,3.0,2,1976.0,Downtown,Poor,2,No,2.96,900000.0
1236,2707.1,3.0,2.0,2,1989.0,Suburbs,Good,2,No,2.49,512900.0
1237,579.9,3.0,2.0,1,1982.0,Rural,Fair,2,No,1.49,155700.0
1238,2349.2,2.0,1.0,2,1950.0,Suburbs,Good,2,Yes,19.6,458400.0
1239,1670.6,3.0,2.0,1,1957.0,Suburbs,Very Good,1,No,6.93,300300.0
1240,2881.9,4.0,4.0,2,1988.0,Downtown,Good,1,No,11.24,458400.0
1241,1566.0,1.0,1.0,2,1997.0,Suburbs,Good,2,No,2.73,263600.0
1242,2108.2,2.0,3.0,2,1988.0,Suburbs,Fair,3,No,14.19,380900.0
1243,2604.0,2.0,1.0,1,2019.0,Downtown,Good,2,No,14.27,617400.0
1244,2892.6,1.0,1.0,1,1968.0,Urban,Very Good,1,No,3.75,520200.0
1245,1239.8,2.0,2.0,1,1981.0,Waterfront,Excellent,0,No,5.29,310800.0
1246,1932.4,3.0,2.0,1,1958.0,Urban,Fair,1,No,2.35,458400.0
1247,1820.0,3.0,2.0,1,1961.0,Suburbs,Fair,2,No,37.53,317800.0
1248,1677.3,4.0,3.0,3,1960.0,Urban,Excellent,1,No,10.37,386600.0
1249,3612.4,4.0,4.0,2,1995.0,Downtown,Very Good,1,No,27.26,876700.0
1250,500.0,3.0,2.0,1,1965.0,Downtown,Excellent,2,No,3.62,592300.0
1251,1191.3,3.0,2.0,1,1950.0,Suburbs,Fair,1,No,15.23,225100.0
1252,2934.3,3.0,3.0,1,2012.0,Suburbs,Good,2,No,14.52,458400.0
1253,3897.7,3.0,2.0,2,1970.0,Urban,Very Good,1,No,11.77,690900.0
1254,3026.0,3.0,2.0,2,1979.0,Urban,Good,1,Yes,33.71,530100.0
1255,984.5,3.0,3.0,3,1962.0,Downtown,Good,1,No,5.0,235000.0
1256,1812.6,3.0,2.0,1,1983.0,Urban,Poor,2,No,1.4,386900.0
1257,3213.5,3.0,2.0,3,1953.0,Downtown,Good,0,Yes,11.14,684600.0
1258,1633.9,3.0,2.0,2,1977.0,Urban,Fair,0,Yes,13.07,324300.0
1259,2555.1,3.0,2.0,1,2008.0,Rural,Good,3,No,8.56,364200.0
1260,2819.7,5.0,4.0,3,1976.0,Rural,Excellent,0,No,2.32,485000.0
1261,1458.5,4.0,3.0,1,2018.0,Urban,Good,2,No,7.02,432500.0
1262,2152.4,2.0,2.0,2,1974.0,Suburbs,Very Good,2,Yes,3.74,366100.0
1263,500.0,4.0,3.0,1,1952.0,Downtown,Fair,1,No,5.58,100300.0
1264,1380.5,3.0,3.0,2,2017.0,Rural,Good,2,No,10.36,254600.0
1265,1997.9,4.0,4.0,2,1974.0,Suburbs,Good,1,Yes,13.67,387100.0
1266,1201.8,3.0,4.0,2,1969.0,Suburbs,Fair,2,Yes,2.64,327400.0
1267,3505.9,3.0,3.0,2,1983.0,Suburbs,Poor,1,No,5.2,642800.0
1268,1055.9,1.0,1.0,1,1975.0,Downtown,Good,2,Yes,3.14,140100.0
1269,1848.0,3.0,3.0,1,1954.0,Urban,Fair,0,No,2.21,458400.0
1270,2304.6,3.0,3.0,1,2010.0,Downtown,Very Good,2,No,15.3,580400.0
1271,3353.0,3.0,3.0,1,1958.0,Urban,Excellent,0,No,24.0,620800.0
1272,1051.3,3.0,3.0,2,1999.0,Suburbs,Good,1,No,4.62,240600.0
1273,3130.5,2.0,2.0,1,1955.0,Downtown,Fair,1,No,13.91,728500.0
1274,2208.2,4.0,4.0,3,2009.0,Suburbs,Good,0,No,22.73,369000.0
1275,1414.8,5.0,5.0,2,1993.0,Downtown,Very Good,2,No,18.72,560700.0
1276,2569.7,3.0,3.0,2,1960.0,Suburbs,Poor,1,Yes,2.02,482200.0
1277,2359.2,2.0,3.0,1,2015.0,Urban,Good,3,No,31.3,497400.0
1278,1719.8,3.0,2.0,2,1996.0,Downtown,Good,3,No,4.73,486600.0
1279,2255.8,1.0,1.0,3,2022.0,Rural,Good,2,No,4.14,361500.0
1280,1891.7,5.0,3.0,1,1952.0,Downtown,Fair,0,No,0.64,484400.0
1281,2290.8,3.0,3.0,2,1979.0,Downtown,Very Good,1,Yes,6.66,482300.0
1282,2729.7,3.0,2.0,2,1970.0,Urban,Fair,2,Yes,1.15,626500.0
1283,3468.8,3.0,3.0,1,1977.0,Suburbs,Fair,1,No,2.86,647500.0
1284,1209.7,3.0,3.0,2,2011.0,Downtown,Very Good,0,No,3.81,384000.0
1285,3906.4,3.0,3.0,1,1982.0,Suburbs,Very Good,2,Yes,16.55,751500.0
1286,638.3,4.0,3.0,1,1984.0,Suburbs,Poor,2,No,20.83,458400.0
1287,2078.6,2.0,2.0,1,2001.0,Rural,Fair,2,No,3.6,339300.0
1288,2670.7,1.0,1.0,1,1983.0,Suburbs,Fair,0,No,19.57,366600.0
1289,2424.8,2.0,3.0,1,1990.0,Rural,Fair,2,No,19.47,329100.0
1290,500.0,5.0,5.0,1,2000.0,Downtown,Fair,1,No,14.47,545200.0
1291,2033.5,4.0,3.0,3,1996.0,Suburbs,Poor,1,No,1.59,383000.0
1292,1805.6,3.0,2.0,2,1988.0,Downtown,Good,2,Yes,11.72,433600.0
1293,1728.5,3.0,3.0,3,2006.0,Suburbs,Very Good,1,No,29.01,370300.0
1294,500.0,3.0,2.0,1,1972.0,Waterfront,Good,1,No,11.47,881500.0
1295,2485.6,2.0,1.0,1,1997.0,Downtown,Good,0,No,4.03,544600.0
1296,1645.7,5.0,3.0,2,1971.0,Urban,Fair,2,No,6.94,425500.0
1297,2919.7,3.0,3.0,1,1966.0,Suburbs,Excellent,2,No,10.38,532700.0
1298,2445.8,3.0,2.0,1,2018.0,Suburbs,Very Good,2,Yes,7.15,550700.0
1299,2850.3,3.0,3.0,2,1960.0,Urban,Very Good,2,No,1.28,594200.0
1300,2703.7,1.0,1.0,1,1964.0,Urban,Very Good,0,No,3.74,469600.0
1301,1536.8,2.0,2.0,2,1984.0,Downtown,Excellent,1,No,16.21,392100.0
1302,1751.9,4.0,4.0,2,1982.0,Downtown,Good,1,No,19.76,426400.0
1303,2797.8,2.0,3.0,1,1965.0,Urban,Fair,0,No,1.48,604000.0
1304,2688.3,3.0,3.0,1,1983.0,Urban,Good,1,Yes,30.45,429300.0
1305,500.0,2.0,3.0,2,2015.0,Waterfront,Very Good,3,No,3.99,870000.0
